ISBN, NOMBRE DE LIBRO, AUTOR, EDITORIAL, AÑO
978-987-629-344-5,Rayuela,Julio Cortázar,Corregidor,2008
978-987-566-851-4,El Eternauta,Héctor Germán Oesterheld,Ediciones de la Flor,2008
978-950-49-2877-1,Ficciones,Jorge Luis Borges,Emecé,2015
978-978-950-49-3342-7,Operación Masacre,Rodolfo Walsh,Colihue,2010
978-950-07-3812-2,El llano en llamas,Juan Rulfo,Alfaguara,2010
978-950-738-352-7,Los detectives salvajes,Roberto Bolaño,Anagrama,2009
978-950-07-3058-7,El secreto de sus ojos,Eduardo Sacheri,Alfaguara,2009
978-950-49-2524-4,La casa de los espíritus,Isabel Allende,Sudamericana,2011
978-950-45-1755-6,La ciudad de las bestias,Paula Bombara,Alfaguara,2012
978-950-738-224-8,La invención de Morel,Adolfo Bioy Casares,Eterna Cadencia,2012
978-950-738-463-2,Sobre héroes y tumbas,Ernesto Sábato,Sudamericana,2013
978-987-629-503-7,Cien años de soledad,Gabriel García Márquez,Sudamericana,2014
978-987-584-421-7,Los siete locos,Roberto Arlt,Sudamericana,2014
978-978-987-629-734-5,El entenado,Ricardo Piglia,Alfaguara,2016
978-950-86-3263-2,Hopscotch,Julio Cortázar,Penguin Random House,2017
978-950-738-040-3,El Aleph,Jorge Luis Borges,Sudamericana,2019
978-987-584-639-6,Los pichiciegos,Félix Bruzzoni,Alfaguara,2015
78-950-07-3242-2,La mano izquierda de la oscuridad,Ursula K. Le Guin,Minotauro,2010
978-987-584-304-8,El impostor,Javier Cercas,Tusquets Editores,2014
978-950-45-2736-7,La virgen de la cabeza,Mariana Enriquez,Eterna Cadencia,2018
978-950-738-268-2,Temporada de Huracanes,Fernanda Melchor,Literatura Random House,2017
978-950-49-4548-7,El libro de la arena,Jorge Luis Borges,Alianza Editorial,2015
978-987-584-555-4,Historia de la Argentina,Felipe Pigna,Planeta,2010
978-950-45-3155-6,Los ingratos,Martín Caparrós,Alfaguara,2013
978-950-738-098-4,El nervio óptico,María Gainza,Eterna Cadencia,2017
978-987-584-722-1,La piel de Judas,Eduardo Sacheri,Alfaguara,2007
978-950-45-2098-6,El secreto de las flores,Eduardo Berti,Alfaguara,2011
978-950-738-538-7,Tratado de la basofia,Martín Caparrós,Eterna Cadencia,2013
978-950-07-3701-4,Relatos de un náufrago,Gabriel García Márquez,Alfaguara,2017
978-950-45-2954-3,El fin del amor,Tamara Tenenbaum,Sudamericana,2019
978-950-738-434-2,Las malas,Camila Sosa Villada,Tusquets Editores,2019
978-987-629-839-0,La guerra de los yuyos,Juan José Saer,Alfaguara,2018
978-950-738-652-0,La hija de la extranjera,Claudia Piñeiro,Alfaguara,2020
978-950-738-314-4,La invención de Morel,Adolfo Bioy Casares,Emecé,2008
978-950-45-2250-7,El entenado,Ricardo Piglia,Alfaguara,2016
978-987-37-0031-0,Los detectives salvajes,Roberto Bolaño,Alfaguara,2014
